title,image_file,true_labels,description,labels_list,oversample_factor,category
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
T Bar Row,T_Bar_Row.jpg,T Bar Row,The Landmine T-Bar Row is a compound back exercise that primarily targets the latissimus dorsi (lats) traps rhomboids and rear deltoids. It involves using a landmine setup or securing a barbell in a fixed position while rowing with a close grip.,['T Bar Row'],2,muscle_gain
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Bird dog-,Bird_dog.jpg,Bird dog,The bird dog is a core exercise designed to help strengthen and stabilize the posterior chain. It involves lifting an opposite-side arm and leg while in a bent-leg tabletop position. It is most commonly performed as part of a dynamic warm-up,['Bird dog'],2,strength_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Single-arm dumbbell crunch,Singlearm_dumbbell_crunch.jpg,Singlearm dumbbell crunch,The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or six-pack muscles,['Singlearm dumbbell crunch'],2,weight_loss
Weighted Crunches,Weighted_Crunches.jpg,Weighted Crunches,The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult,['Weighted Crunches'],2,weight_loss
FYR Sit-Up,FYR_SitUp.jpg,FYR SitUp,The sit-up is a popular bodyweight exercise focused on the abdominal muscles. It has also been used as part of military,['FYR SitUp'],2,muscle_gain
BFR cable rope hammer curl,BFR_cable_rope_hammer_curl.jpg,BFR cable rope hammer curl,The blood flow restriction (BFR) cable rope hammer curl is an arm movement that builds biceps size and strength using a cable stack,['BFR cable rope hammer curl'],2,muscle_gain
Cross-Body Crunch - Gethin Variation,CrossBody_Crunch__Gethin_Variation.jpg,CrossBody Crunch  Gethin Variation,The cross-body sit-up is a bodyweight exercise targeting the ab muscles,['CrossBody Crunch  Gethin Variation'],2,weight_loss
Side lunge cross-body heel-touch,Side_lunge_crossbody_heeltouch.jpg,Side lunge crossbody heeltouch,The side lunge cross-body heel-touch is a lower-body exercise targeting the quads,['Side lunge crossbody heeltouch'],2,muscle_gain
30 Hollow-Body Hold,30_HollowBody_Hold.jpg,30 HollowBody Hold,The hollow-body hold is an isometric exercise that increases strength and stability in the core muscles. It is common in gymnastics training,['30 HollowBody Hold'],2,strength_training
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
FYR Rope Jumping,FYR_Rope_Jumping.jpg,FYR Rope Jumping,Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles,['FYR Rope Jumping'],2,weight_loss
Tricep Dips G,Tricep_Dips_G.jpg,Tricep Dips G,Triceps Dips are a bodyweight exercise that primarily targets the triceps chest and shoulders. They are performed using parallel bars or a dip station and are excellent for building upper body strength and muscle definition.,['Tricep Dips G'],2,strength_training
Kettlebell Windmill,Kettlebell_Windmill.jpg,Kettlebell Windmill,The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting,['Kettlebell Windmill'],2,strength_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Dumbbell V-Sit Cross Jab,Dumbbell_VSit_Cross_Jab.jpg,Dumbbell VSit Cross Jab,The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout,['Dumbbell VSit Cross Jab'],2,muscle_gain
Knees tucked crunch,Knees_tucked_crunch.jpg,Knees tucked crunch,The knees tucked crunch is a core exercise that involves performing a crunch while keeping the knees bent in a 90-degree position. It primarily targets the rectus abdominis or six-pack muscles. It can be performed for time or reps as part of any abs-focused circuit or workout.,['Knees tucked crunch'],2,weight_loss
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
30 Cable Reverse Crunch,30_Cable_Reverse_Crunch.jpg,30 Cable Reverse Crunch,The cable reverse crunch is performed on the ground facing away from a high pulley,['30 Cable Reverse Crunch'],2,weight_loss
Russian Twist,Russian_Twist.jpg,Russian Twist,The Russian Twist is a core-strengthening exercise that primarily targets the obliques (side abs) while also engaging the rectus abdominis (six-pack muscles) and deep core stabilizers. It is commonly performed as a bodyweight movement but can be intensified using a medicine ball dumbbell or weighted plate.,['Russian Twist'],2,strength_training
Alternating Exercise Ball Knee Tucks - Gethin Variation,Alternating_Exercise_Ball_Knee_Tucks__Gethin_Variation.jpg,Alternating Exercise Ball Knee Tucks  Gethin Variation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,['Alternating Exercise Ball Knee Tucks  Gethin Variation'],2,strength_training
Standing barbell calf raise,Standing_barbell_calf_raise.jpg,Standing barbell calf raise,The standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg,['Standing barbell calf raise'],2,muscle_gain
Pull Up G,Pull_Up_G.jpg,Pull Up G,The Pull-Up is a bodyweight compound exercise that primarily targets the upper back lats and biceps. It is one of the most effective exercises for building upper-body strength and improving functional fitness.,['Pull Up G'],2,muscle_gain
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Exercise ball knee roll-in,Exercise_ball_knee_rollin.jpg,Exercise ball knee rollin,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring a fair amount of core strength.,['Exercise ball knee rollin'],2,strength_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Half bird dog,Half_bird_dog.jpg,Half bird dog,The half bird dog is a core exercise designed to strengthen the posterior chain. In the half bird dog,['Half bird dog'],2,strength_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
FYR2 Standing Banded Leg Abduction,FYR2_Standing_Banded_Leg_Abduction.jpg,FYR2 Standing Banded Leg Abduction,No description available.,['FYR2 Standing Banded Leg Abduction'],2,muscle_gain
Tricep Dips,Tricep_Dips.jpg,Tricep Dips,Triceps Dips are a bodyweight exercise that primarily targets the triceps chest and shoulders. They are performed using parallel bars or a dip station and are excellent for building upper body strength and muscle definition.,['Tricep Dips'],2,strength_training
Bench crunch,Bench_crunch.jpg,Bench crunch,The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor,['Bench crunch'],2,weight_loss
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
TBS EZ-Bar Curl,TBS_EZBar_Curl.jpg,TBS EZBar Curl,The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights,['TBS EZBar Curl'],2,muscle_gain
Partner resistance standing twist,Partner_resistance_standing_twist.jpg,Partner resistance standing twist,The partner resistance standing twist is a bodyweight exercise in which one partner performs bodyweight twists while the other provides manual resistance. It targets the muscles of the core,['Partner resistance standing twist'],2,strength_training
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Tricep Pushdown G,Tricep_Pushdown_G.jpg,Tricep Pushdown G,The Tricep Pushdown is an isolation exercise that targets the triceps brachii specifically helping to build size and strength in the back of the upper arms. It is performed using a cable machine with a rope straight bar or V-bar attachment.,['Tricep Pushdown G'],2,muscle_gain
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Shoulder-Elevated One-Leg Hip Thrusts,ShoulderElevated_OneLeg_Hip_Thrusts.jpg,ShoulderElevated OneLeg Hip Thrusts,The Shoulder-Elevated One-Leg Hip Thrust is a unilateral lower-body exercise that primarily targets the glutes hamstrings and core while also engaging the quadriceps and hip stabilizers. By performing the movement on a single leg it increases muscular activation balance and core stability making it a great option for building strength and symmetry in the lower body.,['ShoulderElevated OneLeg Hip Thrusts'],2,strength_training
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Half bird dog,Half_bird_dog.jpg,Half bird dog,The half bird dog is a core exercise designed to strengthen the posterior chain. In the half bird dog,['Half bird dog'],2,strength_training
Leg Extension,Leg_Extension.jpg,Leg Extension,The Leg Extension is an isolation exercise performed on a leg extension machine to specifically target the quadriceps (front thigh muscles). It is commonly used to strengthen the quads improve knee stability and enhance overall leg definition.,['Leg Extension'],2,strength_training
Lateral ape,Lateral_ape.jpg,Lateral ape,The lateral ape is an exercise focused on the lower body that involves staying in a low squat position as you hop laterally. It can be performed as part of a dynamic warm-up,['Lateral ape'],2,muscle_gain
